Country,Indicator,Year,Sex,Age,Value
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1995,Female,Age 0-14,0.66
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1995,Female,Age 10-19,1.05
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1995,Male,Age 0-14,0.64
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1995,Male,Age 10-19,0.32
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1996,Both,Age 0-14,0.69
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1996,Both,Age 10-19,0.68
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1996,Female,Age 0-14,0.71
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1996,Female,Age 10-19,1.05
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1996,Male,Age 0-14,0.68
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1996,Male,Age 10-19,0.32
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1997,Both,Age 0-14,0.73
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1997,Both,Age 10-19,0.67
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1997,Female,Age 0-14,0.74
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1997,Female,Age 10-19,1.04
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1997,Male,Age 0-14,0.72
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1997,Male,Age 10-19,0.31
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1998,Both,Age 0-14,0.75
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1998,Both,Age 10-19,0.65
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1998,Female,Age 0-14,0.77
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1998,Female,Age 10-19,1.03
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1998,Male,Age 0-14,0.74
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1998,Male,Age 10-19,0.30
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1999,Both,Age 0-14,0.77
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1999,Both,Age 10-19,0.64
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1999,Female,Age 0-14,0.79
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1999,Female,Age 10-19,1.00
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1999,Male,Age 0-14,0.76
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",1999,Male,Age 10-19,0.30
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2000,Both,Age 0-14,0.78
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2000,Both,Age 10-19,0.62
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2000,Female,Age 0-14,0.79
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2000,Female,Age 10-19,0.97
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2000,Male,Age 0-14,0.77
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2000,Male,Age 10-19,0.29
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2001,Both,Age 0-14,0.78
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2001,Both,Age 10-19,0.59
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2001,Female,Age 0-14,0.79
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2001,Female,Age 10-19,0.92
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2001,Male,Age 0-14,0.76
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2001,Male,Age 10-19,0.27
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2002,Both,Age 0-14,0.77
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2002,Both,Age 10-19,0.56
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2002,Female,Age 0-14,0.78
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2002,Female,Age 10-19,0.88
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2002,Male,Age 0-14,0.76
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2002,Male,Age 10-19,0.26
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2003,Both,Age 0-14,0.76
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2003,Both,Age 10-19,0.53
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2003,Female,Age 0-14,0.77
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2003,Female,Age 10-19,0.83
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2003,Male,Age 0-14,0.74
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2003,Male,Age 10-19,0.24
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2004,Both,Age 0-14,0.74
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2004,Both,Age 10-19,0.50
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2004,Female,Age 0-14,0.76
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2004,Female,Age 10-19,0.78
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2004,Male,Age 0-14,0.73
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2004,Male,Age 10-19,0.23
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2005,Both,Age 0-14,0.72
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2005,Both,Age 10-19,0.48
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2005,Female,Age 0-14,0.73
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2005,Female,Age 10-19,0.76
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2005,Male,Age 0-14,0.70
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2005,Male,Age 10-19,0.22
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2006,Both,Age 0-14,0.69
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2006,Both,Age 10-19,0.47
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2006,Female,Age 0-14,0.70
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2006,Female,Age 10-19,0.73
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2006,Male,Age 0-14,0.68
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2006,Male,Age 10-19,0.21
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2007,Both,Age 0-14,0.64
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2007,Both,Age 10-19,0.46
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2007,Female,Age 0-14,0.66
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2007,Female,Age 10-19,0.72
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2007,Male,Age 0-14,0.63
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2007,Male,Age 10-19,0.21
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2008,Both,Age 0-14,0.59
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2008,Both,Age 10-19,0.45
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2008,Female,Age 0-14,0.60
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2008,Female,Age 10-19,0.71
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2008,Male,Age 0-14,0.58
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2008,Male,Age 10-19,0.20
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2009,Both,Age 0-14,0.54
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2009,Both,Age 10-19,0.44
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2009,Female,Age 0-14,0.55
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2009,Female,Age 10-19,0.70
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2009,Male,Age 0-14,0.53
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2009,Male,Age 10-19,0.20
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2010,Both,Age 0-14,0.49
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2010,Both,Age 10-19,0.43
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2010,Female,Age 0-14,0.50
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2010,Female,Age 10-19,0.69
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2010,Male,Age 0-14,0.48
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2010,Male,Age 10-19,0.20
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2011,Both,Age 0-14,0.42
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2011,Both,Age 10-19,0.42
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2011,Female,Age 0-14,0.43
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2011,Female,Age 10-19,0.66
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2011,Male,Age 0-14,0.42
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2011,Male,Age 10-19,0.19
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2012,Both,Age 0-14,0.37
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2012,Both,Age 10-19,0.40
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2012,Female,Age 0-14,0.38
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2012,Female,Age 10-19,0.64
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2012,Male,Age 0-14,0.37
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2012,Male,Age 10-19,0.19
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2013,Both,Age 0-14,0.34
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2013,Both,Age 10-19,0.39
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2013,Female,Age 0-14,0.34
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2013,Female,Age 10-19,0.61
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2013,Male,Age 0-14,0.33
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2013,Male,Age 10-19,0.18
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2014,Both,Age 0-14,0.31
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2014,Both,Age 10-19,0.37
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2014,Female,Age 0-14,0.32
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2014,Female,Age 10-19,0.58
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2014,Male,Age 0-14,0.31
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2014,Male,Age 10-19,0.17
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2015,Both,Age 0-14,0.28
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2015,Both,Age 10-19,0.35
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2015,Female,Age 0-14,0.29
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2015,Female,Age 10-19,0.56
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2015,Male,Age 0-14,0.28
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2015,Male,Age 10-19,0.17
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2016,Both,Age 0-14,0.27
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2016,Both,Age 10-19,0.34
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2016,Female,Age 0-14,0.27
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2016,Female,Age 10-19,0.53
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2016,Male,Age 0-14,0.26
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2016,Male,Age 10-19,0.16
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2017,Both,Age 0-14,0.25
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2017,Both,Age 10-19,0.32
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2017,Female,Age 0-14,0.26
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2017,Female,Age 10-19,0.50
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2017,Male,Age 0-14,0.25
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2017,Male,Age 10-19,0.15
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2018,Both,Age 0-14,0.24
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2018,Both,Age 10-19,0.30
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2018,Female,Age 0-14,0.24
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2018,Female,Age 10-19,0.46
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2018,Male,Age 0-14,0.23
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2018,Male,Age 10-19,0.15
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2019,Both,Age 0-14,0.22
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2019,Both,Age 10-19,0.29
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2019,Female,Age 0-14,0.23
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2019,Female,Age 10-19,0.44
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2019,Male,Age 0-14,0.22
Global,"Estimated incidence rate (new HIV infection per 1,000 uninfected population)",2019,Male,Age 10-19,0.14
Global,Estimated number of annual AIDS-related deaths,1990,Both,Age 0-14,"100,000"
Global,Estimated number of annual AIDS-related deaths,1990,Both,Age 0-19,"110,000"
Global,Estimated number of annual AIDS-related deaths,1990,Both,Age 0-4,"100,000"
Global,Estimated number of annual AIDS-related deaths,1990,Both,Age 0-9,"100,000"
Global,Estimated number of annual AIDS-related deaths,1990,Both,Age 10-14,<500
Global,Estimated number of annual AIDS-related deaths,1990,Both,Age 10-19,"2,800"
Global,Estimated number of annual AIDS-related deaths,1990,Both,Age 15-19,"2,600"
Global,Estimated number of annual AIDS-related deaths,1990,Both,Age 5-9,"2,500"
Global,Estimated number of annual AIDS-related deaths,1990,Female,Age 0-14,"52,000"
Global,Estimated number of annual AIDS-related deaths,1990,Female,Age 0-19,"54,000"
Global,Estimated number of annual AIDS-related deaths,1990,Female,Age 0-4,"50,000"
Global,Estimated number of annual AIDS-related deaths,1990,Female,Age 0-9,"51,000"
Global,Estimated number of annual AIDS-related deaths,1990,Female,Age 10-14,<200
Global,Estimated number of annual AIDS-related deaths,1990,Female,Age 10-19,"2,100"
Global,Estimated number of annual AIDS-related deaths,1990,Female,Age 15-19,"2,000"
Global,Estimated number of annual AIDS-related deaths,1990,Female,Age 5-9,"1,300"
Global,Estimated number of annual AIDS-related deaths,1990,Male,Age 0-14,"53,000"
Global,Estimated number of annual AIDS-related deaths,1990,Male,Age 0-19,"54,000"
Global,Estimated number of annual AIDS-related deaths,1990,Male,Age 0-4,"52,000"
Global,Estimated number of annual AIDS-related deaths,1990,Male,Age 0-9,"53,000"
Global,Estimated number of annual AIDS-related deaths,1990,Male,Age 10-14,<200
Global,Estimated number of annual AIDS-related deaths,1990,Male,Age 10-19,710
Global,Estimated number of annual AIDS-related deaths,1990,Male,Age 15-19,600
Global,Estimated number of annual AIDS-related deaths,1990,Male,Age 5-9,"1,300"
Global,Estimated number of annual AIDS-related deaths,1991,Both,Age 0-14,"130,000"
Global,Estimated number of annual AIDS-related deaths,1991,Both,Age 0-19,"130,000"
Global,Estimated number of annual AIDS-related deaths,1991,Both,Age 0-4,"120,000"
Global,Estimated number of annual AIDS-related deaths,1991,Both,Age 0-9,"130,000"
Global,Estimated number of annual AIDS-related deaths,1991,Both,Age 10-14,<500
Global,Estimated number of annual AIDS-related deaths,1991,Both,Age 10-19,"3,800"
Global,Estimated number of annual AIDS-related deaths,1991,Both,Age 15-19,"3,400"
Global,Estimated number of annual AIDS-related deaths,1991,Both,Age 5-9,"3,700"
Global,Estimated number of annual AIDS-related deaths,1991,Female,Age 0-14,"63,000"
Global,Estimated number of annual AIDS-related deaths,1991,Female,Age 0-19,"66,000"
Global,Estimated number of annual AIDS-related deaths,1991,Female,Age 0-4,"61,000"
Global,Estimated number of annual AIDS-related deaths,1991,Female,Age 0-9,"63,000"
Global,Estimated number of annual AIDS-related deaths,1991,Female,Age 10-14,<200
Global,Estimated number of annual AIDS-related deaths,1991,Female,Age 10-19,"2,700"
Global,Estimated number of annual AIDS-related deaths,1991,Female,Age 15-19,"2,500"
Global,Estimated number of annual AIDS-related deaths,1991,Female,Age 5-9,"1,800"
Global,Estimated number of annual AIDS-related deaths,1991,Male,Age 0-14,"65,000"
Global,Estimated number of annual AIDS-related deaths,1991,Male,Age 0-19,"66,000"
Global,Estimated number of annual AIDS-related deaths,1991,Male,Age 0-4,"63,000"
Global,Estimated number of annual AIDS-related deaths,1991,Male,Age 0-9,"65,000"
Global,Estimated number of annual AIDS-related deaths,1991,Male,Age 10-14,<200
Global,Estimated number of annual AIDS-related deaths,1991,Male,Age 10-19,"1,100"
Global,Estimated number of annual AIDS-related deaths,1991,Male,Age 15-19,890
Global,Estimated number of annual AIDS-related deaths,1991,Male,Age 5-9,"1,800"
Global,Estimated number of annual AIDS-related deaths,1992,Both,Age 0-14,"150,000"
Global,Estimated number of annual AIDS-related deaths,1992,Both,Age 0-19,"160,000"
Global,Estimated number of annual AIDS-related deaths,1992,Both,Age 0-4,"150,000"
Global,Estimated number of annual AIDS-related deaths,1992,Both,Age 0-9,"150,000"
Global,Estimated number of annual AIDS-related deaths,1992,Both,Age 10-14,630
Global,Estimated number of annual AIDS-related deaths,1992,Both,Age 10-19,"4,900"
Global,Estimated number of annual AIDS-related deaths,1992,Both,Age 15-19,"4,300"
Global,Estimated number of annual AIDS-related deaths,1992,Both,Age 5-9,"5,100"
Global,Estimated number of annual AIDS-related deaths,1992,Female,Age 0-14,"75,000"
Global,Estimated number of annual AIDS-related deaths,1992,Female,Age 0-19,"78,000"
Global,Estimated number of annual AIDS-related deaths,1992,Female,Age 0-4,"72,000"
Global,Estimated number of annual AIDS-related deaths,1992,Female,Age 0-9,"75,000"
Global,Estimated number of annual AIDS-related deaths,1992,Female,Age 10-14,<500
Global,Estimated number of annual AIDS-related deaths,1992,Female,Age 10-19,"3,400"
Global,Estimated number of annual AIDS-related deaths,1992,Female,Age 15-19,"3,100"
Global,Estimated number of annual AIDS-related deaths,1992,Female,Age 5-9,"2,500"
Global,Estimated number of annual AIDS-related deaths,1992,Male,Age 0-14,"77,000"
Global,Estimated number of annual AIDS-related deaths,1992,Male,Age 0-19,"78,000"
Global,Estimated number of annual AIDS-related deaths,1992,Male,Age 0-4,"74,000"
Global,Estimated number of annual AIDS-related deaths,1992,Male,Age 0-9,"77,000"
Global,Estimated number of annual AIDS-related deaths,1992,Male,Age 10-14,<500
Global,Estimated number of annual AIDS-related deaths,1992,Male,Age 10-19,"1,500"
Global,Estimated number of annual AIDS-related deaths,1992,Male,Age 15-19,"1,200"
Global,Estimated number of annual AIDS-related deaths,1992,Male,Age 5-9,"2,600"
Global,Estimated number of annual AIDS-related deaths,1993,Both,Age 0-14,"180,000"
Global,Estimated number of annual AIDS-related deaths,1993,Both,Age 0-19,"180,000"
Global,Estimated number of annual AIDS-related deaths,1993,Both,Age 0-4,"170,000"
Global,Estimated number of annual AIDS-related deaths,1993,Both,Age 0-9,"180,000"
Global,Estimated number of annual AIDS-related deaths,1993,Both,Age 10-14,990
Global,Estimated number of annual AIDS-related deaths,1993,Both,Age 10-19,"6,100"
Global,Estimated number of annual AIDS-related deaths,1993,Both,Age 15-19,"5,100"
Global,Estimated number of annual AIDS-related deaths,1993,Both,Age 5-9,"6,900"
Global,Estimated number of annual AIDS-related deaths,1993,Female,Age 0-14,"87,000"
Global,Estimated number of annual AIDS-related deaths,1993,Female,Age 0-19,"91,000"
Global,Estimated number of annual AIDS-related deaths,1993,Female,Age 0-4,"83,000"
Global,Estimated number of annual AIDS-related deaths,1993,Female,Age 0-9,"87,000"
Global,Estimated number of annual AIDS-related deaths,1993,Female,Age 10-14,<500
Global,Estimated number of annual AIDS-related deaths,1993,Female,Age 10-19,"4,200"
Global,Estimated number of annual AIDS-related deaths,1993,Female,Age 15-19,"3,800"
Global,Estimated number of annual AIDS-related deaths,1993,Female,Age 5-9,"3,400"
Global,Estimated number of annual AIDS-related deaths,1993,Male,Age 0-14,"90,000"
Global,Estimated number of annual AIDS-related deaths,1993,Male,Age 0-19,"91,000"
Global,Estimated number of annual AIDS-related deaths,1993,Male,Age 0-4,"86,000"
Global,Estimated number of annual AIDS-related deaths,1993,Male,Age 0-9,"89,000"
Global,Estimated number of annual AIDS-related deaths,1993,Male,Age 10-14,510
Global,Estimated number of annual AIDS-related deaths,1993,Male,Age 10-19,"1,900"
Global,Estimated number of annual AIDS-related deaths,1993,Male,Age 15-19,"1,400"
Global,Estimated number of annual AIDS-related deaths,1993,Male,Age 5-9,"3,500"
Global,Estimated number of annual AIDS-related deaths,1994,Both,Age 0-14,"200,000"
Global,Estimated number of annual AIDS-related deaths,1994,Both,Age 0-19,"210,000"
Global,Estimated number of annual AIDS-related deaths,1994,Both,Age 0-4,"190,000"
Global,Estimated number of annual AIDS-related deaths,1994,Both,Age 0-9,"200,000"
Global,Estimated number of annual AIDS-related deaths,1994,Both,Age 10-14,"1,500"
Global,Estimated number of annual AIDS-related deaths,1994,Both,Age 10-19,"7,400"
Global,Estimated number of annual AIDS-related deaths,1994,Both,Age 15-19,"5,900"
Global,Estimated number of annual AIDS-related deaths,1994,Both,Age 5-9,"9,000"
Global,Estimated number of annual AIDS-related deaths,1994,Female,Age 0-14,"99,000"
Global,Estimated number of annual AIDS-related deaths,1994,Female,Age 0-19,"100,000"
Global,Estimated number of annual AIDS-related deaths,1994,Female,Age 0-4,"94,000"
Global,Estimated number of annual AIDS-related deaths,1994,Female,Age 0-9,"98,000"
Global,Estimated number of annual AIDS-related deaths,1994,Female,Age 10-14,770
Global,Estimated number of annual AIDS-related deaths,1994,Female,Age 10-19,"5,100"
Global,Estimated number of annual AIDS-related deaths,1994,Female,Age 15-19,"4,400"
Global,Estimated number of annual AIDS-related deaths,1994,Female,Age 5-9,"4,500"
Global,Estimated number of annual AIDS-related deaths,1994,Male,Age 0-14,"100,000"
Global,Estimated number of annual AIDS-related deaths,1994,Male,Age 0-19,"100,000"
Global,Estimated number of annual AIDS-related deaths,1994,Male,Age 0-4,"96,000"
Global,Estimated number of annual AIDS-related deaths,1994,Male,Age 0-9,"100,000"
Global,Estimated number of annual AIDS-related deaths,1994,Male,Age 10-14,780
Global,Estimated number of annual AIDS-related deaths,1994,Male,Age 10-19,"2,300"
Global,Estimated number of annual AIDS-related deaths,1994,Male,Age 15-19,"1,500"
Global,Estimated number of annual AIDS-related deaths,1994,Male,Age 5-9,"4,600"
Global,Estimated number of annual AIDS-related deaths,1995,Both,Age 0-14,"220,000"
Global,Estimated number of annual AIDS-related deaths,1995,Both,Age 0-19,"230,000"
Global,Estimated number of annual AIDS-related deaths,1995,Both,Age 0-4,"210,000"
Global,Estimated number of annual AIDS-related deaths,1995,Both,Age 0-9,"220,000"
Global,Estimated number of annual AIDS-related deaths,1995,Both,Age 10-14,"2,300"
