,Region,year,value,Age,type
75,Eastern Europe and Central Asia,2007,4800,People aged 50 and over,AIDS-related deaths
76,Latin America,2007,7200,People aged 50 and over,AIDS-related deaths
77,Middle East and North Africa,2007,1200,People aged 50 and over,AIDS-related deaths
78,West and Central Africa,2007,39000,People aged 50 and over,AIDS-related deaths
79,Western & Central Europe and North America,2007,6900,People aged 50 and over,AIDS-related deaths
80,Global,2007,200000,People aged 50 and over,AIDS-related deaths
81,Asia and the Pacific,2008,43000,People aged 50 and over,AIDS-related deaths
82,Caribbean,2008,2200,People aged 50 and over,AIDS-related deaths
83,East and Southern Africa,2008,79000,People aged 50 and over,AIDS-related deaths
84,Eastern Europe and Central Asia,2008,4500,People aged 50 and over,AIDS-related deaths
85,Latin America,2008,7200,People aged 50 and over,AIDS-related deaths
86,Middle East and North Africa,2008,1300,People aged 50 and over,AIDS-related deaths
87,West and Central Africa,2008,38000,People aged 50 and over,AIDS-related deaths
88,Western & Central Europe and North America,2008,7100,People aged 50 and over,AIDS-related deaths
89,Global,2008,180000,People aged 50 and over,AIDS-related deaths
90,Asia and the Pacific,2009,39000,People aged 50 and over,AIDS-related deaths
91,Caribbean,2009,2000,People aged 50 and over,AIDS-related deaths
92,East and Southern Africa,2009,69000,People aged 50 and over,AIDS-related deaths
93,Eastern Europe and Central Asia,2009,4700,People aged 50 and over,AIDS-related deaths
94,Latin America,2009,7700,People aged 50 and over,AIDS-related deaths
95,Middle East and North Africa,2009,1300,People aged 50 and over,AIDS-related deaths
96,West and Central Africa,2009,34000,People aged 50 and over,AIDS-related deaths
97,Western & Central Europe and North America,2009,7300,People aged 50 and over,AIDS-related deaths
98,Global,2009,160000,People aged 50 and over,AIDS-related deaths
99,Asia and the Pacific,2010,36000,People aged 50 and over,AIDS-related deaths
100,Caribbean,2010,1800,People aged 50 and over,AIDS-related deaths
101,East and Southern Africa,2010,63000,People aged 50 and over,AIDS-related deaths
102,Eastern Europe and Central Asia,2010,5400,People aged 50 and over,AIDS-related deaths
103,Latin America,2010,7900,People aged 50 and over,AIDS-related deaths
104,Middle East and North Africa,2010,1300,People aged 50 and over,AIDS-related deaths
105,West and Central Africa,2010,32000,People aged 50 and over,AIDS-related deaths
106,Western & Central Europe and North America,2010,7200,People aged 50 and over,AIDS-related deaths
107,Global,2010,150000,People aged 50 and over,AIDS-related deaths
108,Asia and the Pacific,2011,35000,People aged 50 and over,AIDS-related deaths
109,Caribbean,2011,1900,People aged 50 and over,AIDS-related deaths
110,East and Southern Africa,2011,58000,People aged 50 and over,AIDS-related deaths
111,Eastern Europe and Central Asia,2011,6400,People aged 50 and over,AIDS-related deaths
112,Latin America,2011,7800,People aged 50 and over,AIDS-related deaths
113,Middle East and North Africa,2011,1400,People aged 50 and over,AIDS-related deaths
114,West and Central Africa,2011,32000,People aged 50 and over,AIDS-related deaths
115,Western & Central Europe and North America,2011,7300,People aged 50 and over,AIDS-related deaths
116,Global,2011,150000,People aged 50 and over,AIDS-related deaths
117,Asia and the Pacific,2012,36000,People aged 50 and over,AIDS-related deaths
118,Caribbean,2012,2000,People aged 50 and over,AIDS-related deaths
119,East and Southern Africa,2012,55000,People aged 50 and over,AIDS-related deaths
120,Eastern Europe and Central Asia,2012,7000,People aged 50 and over,AIDS-related deaths
121,Latin America,2012,7700,People aged 50 and over,AIDS-related deaths
122,Middle East and North Africa,2012,1500,People aged 50 and over,AIDS-related deaths
123,West and Central Africa,2012,30000,People aged 50 and over,AIDS-related deaths
124,Western & Central Europe and North America,2012,7100,People aged 50 and over,AIDS-related deaths
125,Global,2012,150000,People aged 50 and over,AIDS-related deaths
126,Asia and the Pacific,2013,37000,People aged 50 and over,AIDS-related deaths
127,Caribbean,2013,2100,People aged 50 and over,AIDS-related deaths
128,East and Southern Africa,2013,51000,People aged 50 and over,AIDS-related deaths
129,Eastern Europe and Central Asia,2013,7300,People aged 50 and over,AIDS-related deaths
130,Latin America,2013,7900,People aged 50 and over,AIDS-related deaths
131,Middle East and North Africa,2013,1600,People aged 50 and over,AIDS-related deaths
132,West and Central Africa,2013,29000,People aged 50 and over,AIDS-related deaths
133,Western & Central Europe and North America,2013,6900,People aged 50 and over,AIDS-related deaths
134,Global,2013,140000,People aged 50 and over,AIDS-related deaths
135,Asia and the Pacific,2014,37000,People aged 50 and over,AIDS-related deaths
136,Caribbean,2014,2100,People aged 50 and over,AIDS-related deaths
137,East and Southern Africa,2014,48000,People aged 50 and over,AIDS-related deaths
138,Eastern Europe and Central Asia,2014,7400,People aged 50 and over,AIDS-related deaths
139,Latin America,2014,8300,People aged 50 and over,AIDS-related deaths
140,Middle East and North Africa,2014,1600,People aged 50 and over,AIDS-related deaths
141,West and Central Africa,2014,29000,People aged 50 and over,AIDS-related deaths
142,Western & Central Europe and North America,2014,6700,People aged 50 and over,AIDS-related deaths
143,Global,2014,140000,People aged 50 and over,AIDS-related deaths
144,Asia and the Pacific,2015,37000,People aged 50 and over,AIDS-related deaths
145,Caribbean,2015,2100,People aged 50 and over,AIDS-related deaths
146,East and Southern Africa,2015,46000,People aged 50 and over,AIDS-related deaths
147,Eastern Europe and Central Asia,2015,7500,People aged 50 and over,AIDS-related deaths
148,Latin America,2015,8600,People aged 50 and over,AIDS-related deaths
149,Middle East and North Africa,2015,1600,People aged 50 and over,AIDS-related deaths
150,West and Central Africa,2015,29000,People aged 50 and over,AIDS-related deaths
151,Western & Central Europe and North America,2015,6700,People aged 50 and over,AIDS-related deaths
152,Global,2015,140000,People aged 50 and over,AIDS-related deaths
153,Asia and the Pacific,2016,37000,People aged 50 and over,AIDS-related deaths
154,Caribbean,2016,2100,People aged 50 and over,AIDS-related deaths
155,East and Southern Africa,2016,46000,People aged 50 and over,AIDS-related deaths
156,Eastern Europe and Central Asia,2016,7800,People aged 50 and over,AIDS-related deaths
157,Latin America,2016,8700,People aged 50 and over,AIDS-related deaths
158,Middle East and North Africa,2016,1700,People aged 50 and over,AIDS-related deaths
159,West and Central Africa,2016,29000,People aged 50 and over,AIDS-related deaths
160,Western & Central Europe and North America,2016,6800,People aged 50 and over,AIDS-related deaths
161,Global,2016,140000,People aged 50 and over,AIDS-related deaths
162,Asia and the Pacific,2017,37000,People aged 50 and over,AIDS-related deaths
163,Caribbean,2017,2100,People aged 50 and over,AIDS-related deaths
164,East and Southern Africa,2017,47000,People aged 50 and over,AIDS-related deaths
165,Eastern Europe and Central Asia,2017,7600,People aged 50 and over,AIDS-related deaths
166,Latin America,2017,9100,People aged 50 and over,AIDS-related deaths
167,Middle East and North Africa,2017,1600,People aged 50 and over,AIDS-related deaths
168,West and Central Africa,2017,28000,People aged 50 and over,AIDS-related deaths
169,Western & Central Europe and North America,2017,6900,People aged 50 and over,AIDS-related deaths
170,Global,2017,140000,People aged 50 and over,AIDS-related deaths
171,Asia and the Pacific,2018,36000,People aged 50 and over,AIDS-related deaths
172,Caribbean,2018,2000,People aged 50 and over,AIDS-related deaths
173,East and Southern Africa,2018,48000,People aged 50 and over,AIDS-related deaths
174,Eastern Europe and Central Asia,2018,8300,People aged 50 and over,AIDS-related deaths
175,Latin America,2018,10000,People aged 50 and over,AIDS-related deaths
176,Middle East and North Africa,2018,1600,People aged 50 and over,AIDS-related deaths
177,West and Central Africa,2018,27000,People aged 50 and over,AIDS-related deaths
178,Western & Central Europe and North America,2018,7100,People aged 50 and over,AIDS-related deaths
179,Global,2018,140000,People aged 50 and over,AIDS-related deaths
180,Asia and the Pacific,2019,33000,People aged 50 and over,AIDS-related deaths
181,Caribbean,2019,2000,People aged 50 and over,AIDS-related deaths
182,East and Southern Africa,2019,49000,People aged 50 and over,AIDS-related deaths
183,Eastern Europe and Central Asia,2019,8700,People aged 50 and over,AIDS-related deaths
184,Latin America,2019,11000,People aged 50 and over,AIDS-related deaths
185,Middle East and North Africa,2019,1600,People aged 50 and over,AIDS-related deaths
186,West and Central Africa,2019,26000,People aged 50 and over,AIDS-related deaths
187,Western & Central Europe and North America,2019,7400,People aged 50 and over,AIDS-related deaths
188,Global,2019,140000,People aged 50 and over,AIDS-related deaths
0,Asia and the Pacific,1999,140000,Adults (15-49),AIDS-related deaths
1,Caribbean,1999,13000,Adults (15-49),AIDS-related deaths
2,East and Southern Africa,1999,470000,Adults (15-49),AIDS-related deaths
3,Eastern Europe and Central Asia,1999,7300,Adults (15-49),AIDS-related deaths
4,Latin America,1999,31000,Adults (15-49),AIDS-related deaths
5,Middle East and North Africa,1999,2100,Adults (15-49),AIDS-related deaths
6,West and Central Africa,1999,140000,Adults (15-49),AIDS-related deaths
7,Western & Central Europe and North America,1999,15000,Adults (15-49),AIDS-related deaths
8,Global,1999,830000,Adults (15-49),AIDS-related deaths
9,Asia and the Pacific,2000,170000,Adults (15-49),AIDS-related deaths
10,Caribbean,2000,14000,Adults (15-49),AIDS-related deaths
11,East and Southern Africa,2000,530000,Adults (15-49),AIDS-related deaths
12,Eastern Europe and Central Asia,2000,9000,Adults (15-49),AIDS-related deaths
13,Latin America,2000,32000,Adults (15-49),AIDS-related deaths
14,Middle East and North Africa,2000,2500,Adults (15-49),AIDS-related deaths
15,West and Central Africa,2000,160000,Adults (15-49),AIDS-related deaths
16,Western & Central Europe and North America,2000,16000,Adults (15-49),AIDS-related deaths
17,Global,2000,920000,Adults (15-49),AIDS-related deaths
18,Asia and the Pacific,2001,190000,Adults (15-49),AIDS-related deaths
19,Caribbean,2001,14000,Adults (15-49),AIDS-related deaths
20,East and Southern Africa,2001,580000,Adults (15-49),AIDS-related deaths
21,Eastern Europe and Central Asia,2001,11000,Adults (15-49),AIDS-related deaths
22,Latin America,2001,32000,Adults (15-49),AIDS-related deaths
23,Middle East and North Africa,2001,2900,Adults (15-49),AIDS-related deaths
24,West and Central Africa,2001,170000,Adults (15-49),AIDS-related deaths
25,Western & Central Europe and North America,2001,16000,Adults (15-49),AIDS-related deaths
26,Global,2001,1000000,Adults (15-49),AIDS-related deaths
27,Asia and the Pacific,2002,200000,Adults (15-49),AIDS-related deaths
28,Caribbean,2002,15000,Adults (15-49),AIDS-related deaths
29,East and Southern Africa,2002,620000,Adults (15-49),AIDS-related deaths
30,Eastern Europe and Central Asia,2002,13000,Adults (15-49),AIDS-related deaths
31,Latin America,2002,32000,Adults (15-49),AIDS-related deaths
32,Middle East and North Africa,2002,3500,Adults (15-49),AIDS-related deaths
33,West and Central Africa,2002,180000,Adults (15-49),AIDS-related deaths
34,Western & Central Europe and North America,2002,14000,Adults (15-49),AIDS-related deaths
35,Global,2002,1100000,Adults (15-49),AIDS-related deaths
36,Asia and the Pacific,2003,220000,Adults (15-49),AIDS-related deaths
37,Caribbean,2003,15000,Adults (15-49),AIDS-related deaths
38,East and Southern Africa,2003,660000,Adults (15-49),AIDS-related deaths
39,Eastern Europe and Central Asia,2003,15000,Adults (15-49),AIDS-related deaths
40,Latin America,2003,32000,Adults (15-49),AIDS-related deaths
41,Middle East and North Africa,2003,3900,Adults (15-49),AIDS-related deaths
42,West and Central Africa,2003,190000,Adults (15-49),AIDS-related deaths
43,Western & Central Europe and North America,2003,13000,Adults (15-49),AIDS-related deaths
44,Global,2003,1100000,Adults (15-49),AIDS-related deaths
45,Asia and the Pacific,2004,230000,Adults (15-49),AIDS-related deaths
46,Caribbean,2004,15000,Adults (15-49),AIDS-related deaths
47,East and Southern Africa,2004,680000,Adults (15-49),AIDS-related deaths
48,Eastern Europe and Central Asia,2004,17000,Adults (15-49),AIDS-related deaths
49,Latin America,2004,32000,Adults (15-49),AIDS-related deaths
50,Middle East and North Africa,2004,4300,Adults (15-49),AIDS-related deaths
51,West and Central Africa,2004,190000,Adults (15-49),AIDS-related deaths
52,Western & Central Europe and North America,2004,13000,Adults (15-49),AIDS-related deaths
53,Global,2004,1200000,Adults (15-49),AIDS-related deaths
54,Asia and the Pacific,2005,230000,Adults (15-49),AIDS-related deaths
55,Caribbean,2005,15000,Adults (15-49),AIDS-related deaths
56,East and Southern Africa,2005,660000,Adults (15-49),AIDS-related deaths
57,Eastern Europe and Central Asia,2005,19000,Adults (15-49),AIDS-related deaths
58,Latin America,2005,32000,Adults (15-49),AIDS-related deaths
59,Middle East and North Africa,2005,4800,Adults (15-49),AIDS-related deaths
60,West and Central Africa,2005,180000,Adults (15-49),AIDS-related deaths
61,Western & Central Europe and North America,2005,13000,Adults (15-49),AIDS-related deaths
62,Global,2005,1200000,Adults (15-49),AIDS-related deaths
63,Asia and the Pacific,2006,220000,Adults (15-49),AIDS-related deaths
64,Caribbean,2006,13000,Adults (15-49),AIDS-related deaths
65,East and Southern Africa,2006,620000,Adults (15-49),AIDS-related deaths
66,Eastern Europe and Central Asia,2006,21000,Adults (15-49),AIDS-related deaths
67,Latin America,2006,32000,Adults (15-49),AIDS-related deaths
68,Middle East and North Africa,2006,5300,Adults (15-49),AIDS-related deaths
69,West and Central Africa,2006,170000,Adults (15-49),AIDS-related deaths
70,Western & Central Europe and North America,2006,12000,Adults (15-49),AIDS-related deaths
71,Global,2006,1100000,Adults (15-49),AIDS-related deaths
72,Asia and the Pacific,2007,210000,Adults (15-49),AIDS-related deaths
73,Caribbean,2007,11000,Adults (15-49),AIDS-related deaths
74,East and Southern Africa,2007,550000,Adults (15-49),AIDS-related deaths
75,Eastern Europe and Central Asia,2007,20000,Adults (15-49),AIDS-related deaths
76,Latin America,2007,30000,Adults (15-49),AIDS-related deaths
77,Middle East and North Africa,2007,5600,Adults (15-49),AIDS-related deaths
78,West and Central Africa,2007,160000,Adults (15-49),AIDS-related deaths
79,Western & Central Europe and North America,2007,12000,Adults (15-49),AIDS-related deaths
80,Global,2007,1000000,Adults (15-49),AIDS-related deaths
81,Asia and the Pacific,2008,190000,Adults (15-49),AIDS-related deaths
82,Caribbean,2008,9500,Adults (15-49),AIDS-related deaths
83,East and Southern Africa,2008,480000,Adults (15-49),AIDS-related deaths
84,Eastern Europe and Central Asia,2008,19000,Adults (15-49),AIDS-related deaths
85,Latin America,2008,29000,Adults (15-49),AIDS-related deaths
86,Middle East and North Africa,2008,5800,Adults (15-49),AIDS-related deaths
87,West and Central Africa,2008,160000,Adults (15-49),AIDS-related deaths
88,Western & Central Europe and North America,2008,13000,Adults (15-49),AIDS-related deaths
89,Global,2008,900000,Adults (15-49),AIDS-related deaths
90,Asia and the Pacific,2009,180000,Adults (15-49),AIDS-related deaths
91,Caribbean,2009,8400,Adults (15-49),AIDS-related deaths
92,East and Southern Africa,2009,420000,Adults (15-49),AIDS-related deaths
93,Eastern Europe and Central Asia,2009,19000,Adults (15-49),AIDS-related deaths
94,Latin America,2009,30000,Adults (15-49),AIDS-related deaths
95,Middle East and North Africa,2009,5700,Adults (15-49),AIDS-related deaths
96,West and Central Africa,2009,140000,Adults (15-49),AIDS-related deaths
97,Western & Central Europe and North America,2009,12000,Adults (15-49),AIDS-related deaths
98,Global,2009,820000,Adults (15-49),AIDS-related deaths
99,Asia and the Pacific,2010,170000,Adults (15-49),AIDS-related deaths
100,Caribbean,2010,7700,Adults (15-49),AIDS-related deaths
101,East and Southern Africa,2010,380000,Adults (15-49),AIDS-related deaths
102,Eastern Europe and Central Asia,2010,21000,Adults (15-49),AIDS-related deaths
103,Latin America,2010,29000,Adults (15-49),AIDS-related deaths
104,Middle East and North Africa,2010,5800,Adults (15-49),AIDS-related deaths
105,West and Central Africa,2010,130000,Adults (15-49),AIDS-related deaths
106,Western & Central Europe and North America,2010,12000,Adults (15-49),AIDS-related deaths
107,Global,2010,760000,Adults (15-49),AIDS-related deaths
108,Asia and the Pacific,2011,170000,Adults (15-49),AIDS-related deaths
109,Caribbean,2011,7700,Adults (15-49),AIDS-related deaths
110,East and Southern Africa,2011,350000,Adults (15-49),AIDS-related deaths
111,Eastern Europe and Central Asia,2011,22000,Adults (15-49),AIDS-related deaths
112,Latin America,2011,28000,Adults (15-49),AIDS-related deaths
113,Middle East and North Africa,2011,6000,Adults (15-49),AIDS-related deaths
114,West and Central Africa,2011,130000,Adults (15-49),AIDS-related deaths
115,Western & Central Europe and North America,2011,11000,Adults (15-49),AIDS-related deaths
116,Global,2011,720000,Adults (15-49),AIDS-related deaths
117,Asia and the Pacific,2012,170000,Adults (15-49),AIDS-related deaths
118,Caribbean,2012,7600,Adults (15-49),AIDS-related deaths
119,East and Southern Africa,2012,310000,Adults (15-49),AIDS-related deaths
120,Eastern Europe and Central Asia,2012,23000,Adults (15-49),AIDS-related deaths
121,Latin America,2012,27000,Adults (15-49),AIDS-related deaths
122,Middle East and North Africa,2012,6200,Adults (15-49),AIDS-related deaths
123,West and Central Africa,2012,120000,Adults (15-49),AIDS-related deaths
124,Western & Central Europe and North America,2012,9400,Adults (15-49),AIDS-related deaths
125,Global,2012,670000,Adults (15-49),AIDS-related deaths
126,Asia and the Pacific,2013,160000,Adults (15-49),AIDS-related deaths
127,Caribbean,2013,7100,Adults (15-49),AIDS-related deaths
128,East and Southern Africa,2013,280000,Adults (15-49),AIDS-related deaths
129,Eastern Europe and Central Asia,2013,23000,Adults (15-49),AIDS-related deaths
130,Latin America,2013,26000,Adults (15-49),AIDS-related deaths
131,Middle East and North Africa,2013,6200,Adults (15-49),AIDS-related deaths
132,West and Central Africa,2013,120000,Adults (15-49),AIDS-related deaths
133,Western & Central Europe and North America,2013,7900,Adults (15-49),AIDS-related deaths
134,Global,2013,630000,Adults (15-49),AIDS-related deaths
135,Asia and the Pacific,2014,160000,Adults (15-49),AIDS-related deaths
136,Caribbean,2014,6400,Adults (15-49),AIDS-related deaths
137,East and Southern Africa,2014,260000,Adults (15-49),AIDS-related deaths
138,Eastern Europe and Central Asia,2014,23000,Adults (15-49),AIDS-related deaths
139,Latin America,2014,27000,Adults (15-49),AIDS-related deaths
140,Middle East and North Africa,2014,6100,Adults (15-49),AIDS-related deaths
141,West and Central Africa,2014,110000,Adults (15-49),AIDS-related deaths
142,Western & Central Europe and North America,2014,6600,Adults (15-49),AIDS-related deaths
143,Global,2014,590000,Adults (15-49),AIDS-related deaths
144,Asia and the Pacific,2015,150000,Adults (15-49),AIDS-related deaths
145,Caribbean,2015,5800,Adults (15-49),AIDS-related deaths
146,East and Southern Africa,2015,240000,Adults (15-49),AIDS-related deaths
147,Eastern Europe and Central Asia,2015,23000,Adults (15-49),AIDS-related deaths
148,Latin America,2015,26000,Adults (15-49),AIDS-related deaths
149,Middle East and North Africa,2015,6100,Adults (15-49),AIDS-related deaths
150,West and Central Africa,2015,110000,Adults (15-49),AIDS-related deaths
151,Western & Central Europe and North America,2015,5900,Adults (15-49),AIDS-related deaths
152,Global,2015,570000,Adults (15-49),AIDS-related deaths
153,Asia and the Pacific,2016,150000,Adults (15-49),AIDS-related deaths
154,Caribbean,2016,5500,Adults (15-49),AIDS-related deaths
155,East and Southern Africa,2016,230000,Adults (15-49),AIDS-related deaths
156,Eastern Europe and Central Asia,2016,24000,Adults (15-49),AIDS-related deaths
157,Latin America,2016,24000,Adults (15-49),AIDS-related deaths
158,Middle East and North Africa,2016,6000,Adults (15-49),AIDS-related deaths
159,West and Central Africa,2016,100000,Adults (15-49),AIDS-related deaths
160,Western & Central Europe and North America,2016,5500,Adults (15-49),AIDS-related deaths
161,Global,2016,540000,Adults (15-49),AIDS-related deaths
162,Asia and the Pacific,2017,140000,Adults (15-49),AIDS-related deaths
163,Caribbean,2017,5000,Adults (15-49),AIDS-related deaths
164,East and Southern Africa,2017,220000,Adults (15-49),AIDS-related deaths
165,Eastern Europe and Central Asia,2017,23000,Adults (15-49),AIDS-related deaths
166,Latin America,2017,23000,Adults (15-49),AIDS-related deaths
167,Middle East and North Africa,2017,5700,Adults (15-49),AIDS-related deaths
168,West and Central Africa,2017,96000,Adults (15-49),AIDS-related deaths
169,Western & Central Europe and North America,2017,5300,Adults (15-49),AIDS-related deaths
170,Global,2017,510000,Adults (15-49),AIDS-related deaths
171,Asia and the Pacific,2018,130000,Adults (15-49),AIDS-related deaths
172,Caribbean,2018,4500,Adults (15-49),AIDS-related deaths
173,East and Southern Africa,2018,210000,Adults (15-49),AIDS-related deaths
174,Eastern Europe and Central Asia,2018,24000,Adults (15-49),AIDS-related deaths
175,Latin America,2018,24000,Adults (15-49),AIDS-related deaths
176,Middle East and North Africa,2018,5500,Adults (15-49),AIDS-related deaths
177,West and Central Africa,2018,87000,Adults (15-49),AIDS-related deaths
178,Western & Central Europe and North America,2018,5100,Adults (15-49),AIDS-related deaths
179,Global,2018,490000,Adults (15-49),AIDS-related deaths
180,Asia and the Pacific,2019,110000,Adults (15-49),AIDS-related deaths
181,Caribbean,2019,4200,Adults (15-49),AIDS-related deaths
182,East and Southern Africa,2019,200000,Adults (15-49),AIDS-related deaths
183,Eastern Europe and Central Asia,2019,25000,Adults (15-49),AIDS-related deaths
184,Latin America,2019,24000,Adults (15-49),AIDS-related deaths
185,Middle East and North Africa,2019,5500,Adults (15-49),AIDS-related deaths
186,West and Central Africa,2019,82000,Adults (15-49),AIDS-related deaths
187,Western & Central Europe and North America,2019,4800,Adults (15-49),AIDS-related deaths
188,Global,2019,460000,Adults (15-49),AIDS-related deaths
0,Asia and the Pacific,1999,19000,Childern (0-19),AIDS-related deaths
1,Caribbean,1999,3000,Childern (0-19),AIDS-related deaths
2,East and Southern Africa,1999,190000,Childern (0-19),AIDS-related deaths
4,Latin America,1999,5200,Childern (0-19),AIDS-related deaths
5,Middle East and North Africa,1999,999,Childern (0-19),AIDS-related deaths
6,West and Central Africa,1999,70000,Childern (0-19),AIDS-related deaths
8,Global,1999,290000,Childern (0-19),AIDS-related deaths
9,Asia and the Pacific,2000,20000,Childern (0-19),AIDS-related deaths
10,Caribbean,2000,3000,Childern (0-19),AIDS-related deaths
11,East and Southern Africa,2000,200000,Childern (0-19),AIDS-related deaths
13,Latin America,2000,5500,Childern (0-19),AIDS-related deaths
14,Middle East and North Africa,2000,999,Childern (0-19),AIDS-related deaths
15,West and Central Africa,2000,72000,Childern (0-19),AIDS-related deaths
17,Global,2000,300000,Childern (0-19),AIDS-related deaths
18,Asia and the Pacific,2001,20000,Childern (0-19),AIDS-related deaths
19,Caribbean,2001,3000,Childern (0-19),AIDS-related deaths
20,East and Southern Africa,2001,210000,Childern (0-19),AIDS-related deaths
22,Latin America,2001,5400,Childern (0-19),AIDS-related deaths
23,Middle East and North Africa,2001,999,Childern (0-19),AIDS-related deaths
24,West and Central Africa,2001,74000,Childern (0-19),AIDS-related deaths
26,Global,2001,310000,Childern (0-19),AIDS-related deaths
